rank	name	score	description
23	pop-023-amd-znver2-intel-laptop	450	Laptop on AMD Ryzen 3000/4000 (Zen 2), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
24	pop-024-intel-meteorlake-intel-laptop	450	Laptop on Intel Core Ultra 1 (Meteor Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
25	pop-025-intel-alderlake-nvidia-desktop	448	Desktop on Intel Core 12 gen (Alder Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
26	pop-026-intel-alderlake-amd-desktop	448	Desktop on Intel Core 12 gen (Alder Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
27	pop-027-amd-znver3-intel-desktop	432	Desktop on AMD Ryzen 5000 (Zen 3), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
28	pop-028-intel-skylake-intel-desktop	432	Desktop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
29	pop-029-amd-znver2-nvidia-laptop	400	Laptop on AMD Ryzen 3000/4000 (Zen 2), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
30	pop-030-amd-znver2-amd-laptop	400	Laptop on AMD Ryzen 3000/4000 (Zen 2), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
31	pop-031-intel-meteorlake-nvidia-laptop	400	Laptop on Intel Core Ultra 1 (Meteor Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
32	pop-032-intel-meteorlake-amd-laptop	400	Laptop on Intel Core Ultra 1 (Meteor Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
33	pop-033-amd-znver3-nvidia-desktop	384	Desktop on AMD Ryzen 5000 (Zen 3), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
34	pop-034-amd-znver3-amd-desktop	384	Desktop on AMD Ryzen 5000 (Zen 3), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
35	pop-035-intel-skylake-nvidia-desktop	384	Desktop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
36	pop-036-intel-skylake-amd-desktop	384	Desktop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
37	pop-037-amd-znver2-intel-desktop	360	Desktop on AMD Ryzen 3000/4000 (Zen 2), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
38	pop-038-intel-meteorlake-intel-desktop	360	Desktop on Intel Core Ultra 1 (Meteor Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
39	pop-039-intel-icelake-intel-laptop	360	Laptop on Intel Core 10 gen mobile (Ice Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
40	pop-040-amd-znver5-intel-laptop	360	Laptop on AMD Ryzen 9000 (Zen 5), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
41	pop-041-intel-rocketlake-intel-laptop	360	Laptop on Intel Core 11 gen desktop (Rocket Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
42	pop-042-intel-arrowlake-intel-laptop	360	Laptop on Intel Core Ultra 2 (Arrow Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
43	pop-043-generic-x86-64-v3-intel-laptop	360	Laptop on any x86-64-v3 CPU (safe fallback), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
44	pop-044-amd-znver2-nvidia-desktop	320	Desktop on AMD Ryzen 3000/4000 (Zen 2), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
45	pop-045-amd-znver2-amd-desktop	320	Desktop on AMD Ryzen 3000/4000 (Zen 2), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
46	pop-046-intel-meteorlake-nvidia-desktop	320	Desktop on Intel Core Ultra 1 (Meteor Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
47	pop-047-intel-meteorlake-amd-desktop	320	Desktop on Intel Core Ultra 1 (Meteor Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
48	pop-048-intel-icelake-nvidia-laptop	320	Laptop on Intel Core 10 gen mobile (Ice Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
49	pop-049-intel-icelake-amd-laptop	320	Laptop on Intel Core 10 gen mobile (Ice Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
50	pop-050-amd-znver5-nvidia-laptop	320	Laptop on AMD Ryzen 9000 (Zen 5), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
51	pop-051-amd-znver5-amd-laptop	320	Laptop on AMD Ryzen 9000 (Zen 5), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
52	pop-052-intel-rocketlake-nvidia-laptop	320	Laptop on Intel Core 11 gen desktop (Rocket Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
53	pop-053-intel-rocketlake-amd-laptop	320	Laptop on Intel Core 11 gen desktop (Rocket Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
54	pop-054-intel-arrowlake-nvidia-laptop	320	Laptop on Intel Core Ultra 2 (Arrow Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
55	pop-055-intel-arrowlake-amd-laptop	320	Laptop on Intel Core Ultra 2 (Arrow Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
56	pop-056-generic-x86-64-v3-nvidia-laptop	320	Laptop on any x86-64-v3 CPU (safe fallback), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
57	pop-057-generic-x86-64-v3-amd-laptop	320	Laptop on any x86-64-v3 CPU (safe fallback), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
58	pop-058-intel-raptorlake-none-laptop	300	Laptop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
59	pop-059-intel-icelake-intel-desktop	288	Desktop on Intel Core 10 gen mobile (Ice Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
60	pop-060-amd-znver5-intel-desktop	288	Desktop on AMD Ryzen 9000 (Zen 5), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
61	pop-061-intel-rocketlake-intel-desktop	288	Desktop on Intel Core 11 gen desktop (Rocket Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
62	pop-062-intel-arrowlake-intel-desktop	288	Desktop on Intel Core Ultra 2 (Arrow Lake), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
63	pop-063-generic-x86-64-v3-intel-desktop	288	Desktop on any x86-64-v3 CPU (safe fallback), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
64	pop-064-amd-znver4-none-laptop	270	Laptop on AMD Ryzen 7000/8000 (Zen 4), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
65	pop-065-amd-znver1-intel-laptop	270	Laptop on AMD Ryzen 1000/2000 (Zen 1), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
66	pop-066-intel-haswell-intel-laptop	270	Laptop on Intel Core 4-5 gen (Haswell/Broadwell), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
67	pop-067-intel-icelake-nvidia-desktop	256	Desktop on Intel Core 10 gen mobile (Ice Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
68	pop-068-intel-icelake-amd-desktop	256	Desktop on Intel Core 10 gen mobile (Ice Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
69	pop-069-amd-znver5-nvidia-desktop	256	Desktop on AMD Ryzen 9000 (Zen 5), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
70	pop-070-amd-znver5-amd-desktop	256	Desktop on AMD Ryzen 9000 (Zen 5), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
71	pop-071-intel-rocketlake-nvidia-desktop	256	Desktop on Intel Core 11 gen desktop (Rocket Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
72	pop-072-intel-rocketlake-amd-desktop	256	Desktop on Intel Core 11 gen desktop (Rocket Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
73	pop-073-intel-arrowlake-nvidia-desktop	256	Desktop on Intel Core Ultra 2 (Arrow Lake), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
74	pop-074-intel-arrowlake-amd-desktop	256	Desktop on Intel Core Ultra 2 (Arrow Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
75	pop-075-generic-x86-64-v3-nvidia-desktop	256	Desktop on any x86-64-v3 CPU (safe fallback), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
76	pop-076-generic-x86-64-v3-amd-desktop	256	Desktop on any x86-64-v3 CPU (safe fallback), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
77	pop-077-intel-raptorlake-none-desktop	240	Desktop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
78	pop-078-amd-znver1-nvidia-laptop	240	Laptop on AMD Ryzen 1000/2000 (Zen 1), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
79	pop-079-amd-znver1-amd-laptop	240	Laptop on AMD Ryzen 1000/2000 (Zen 1), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
80	pop-080-intel-haswell-nvidia-laptop	240	Laptop on Intel Core 4-5 gen (Haswell/Broadwell), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
81	pop-081-intel-haswell-amd-laptop	240	Laptop on Intel Core 4-5 gen (Haswell/Broadwell), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
82	pop-082-amd-znver4-none-desktop	216	Desktop on AMD Ryzen 7000/8000 (Zen 4), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
83	pop-083-amd-znver1-intel-desktop	216	Desktop on AMD Ryzen 1000/2000 (Zen 1), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
84	pop-084-intel-haswell-intel-desktop	216	Desktop on Intel Core 4-5 gen (Haswell/Broadwell), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
85	pop-085-intel-alderlake-none-laptop	210	Laptop on Intel Core 12 gen (Alder Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
86	pop-086-intel-raptorlake-xe-laptop	200	Laptop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
87	pop-087-intel-raptorlake-nouveau-laptop	200	Laptop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
88	pop-088-amd-znver1-nvidia-desktop	192	Desktop on AMD Ryzen 1000/2000 (Zen 1), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
89	pop-089-amd-znver1-amd-desktop	192	Desktop on AMD Ryzen 1000/2000 (Zen 1), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
90	pop-090-intel-haswell-nvidia-desktop	192	Desktop on Intel Core 4-5 gen (Haswell/Broadwell), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
91	pop-091-intel-haswell-amd-desktop	192	Desktop on Intel Core 4-5 gen (Haswell/Broadwell), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
92	pop-092-amd-znver4-xe-laptop	180	Laptop on AMD Ryzen 7000/8000 (Zen 4), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
93	pop-093-amd-znver4-nouveau-laptop	180	Laptop on AMD Ryzen 7000/8000 (Zen 4), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
94	pop-094-amd-znver3-none-laptop	180	Laptop on AMD Ryzen 5000 (Zen 3), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
95	pop-095-intel-skylake-none-laptop	180	Laptop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
96	pop-096-intel-ivybridge-intel-laptop	180	Laptop on Intel Core 3 gen (Ivy Bridge), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
97	pop-097-intel-sandybridge-intel-laptop	180	Laptop on Intel Core 2 gen (Sandy Bridge), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
98	pop-098-amd-bdver4-intel-laptop	180	Laptop on AMD Excavator/Bulldozer line (bdver4, A-series/FX), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
99	pop-099-generic-x86-64-v2-intel-laptop	180	Laptop on any x86-64-v2 CPU (broad compatibility), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
100	pop-100-intel-alderlake-none-desktop	168	Desktop on Intel Core 12 gen (Alder Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
101	pop-101-intel-raptorlake-amd-handheld	160	Handheld on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
102	pop-102-intel-raptorlake-xe-desktop	160	Desktop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
103	pop-103-intel-raptorlake-nouveau-desktop	160	Desktop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
104	pop-104-intel-ivybridge-nvidia-laptop	160	Laptop on Intel Core 3 gen (Ivy Bridge), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
105	pop-105-intel-ivybridge-amd-laptop	160	Laptop on Intel Core 3 gen (Ivy Bridge), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
106	pop-106-intel-sandybridge-nvidia-laptop	160	Laptop on Intel Core 2 gen (Sandy Bridge), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
107	pop-107-intel-sandybridge-amd-laptop	160	Laptop on Intel Core 2 gen (Sandy Bridge), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
108	pop-108-amd-bdver4-nvidia-laptop	160	Laptop on AMD Excavator/Bulldozer line (bdver4, A-series/FX), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
109	pop-109-amd-bdver4-amd-laptop	160	Laptop on AMD Excavator/Bulldozer line (bdver4, A-series/FX), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
110	pop-110-generic-x86-64-v2-nvidia-laptop	160	Laptop on any x86-64-v2 CPU (broad compatibility), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
111	pop-111-generic-x86-64-v2-amd-laptop	160	Laptop on any x86-64-v2 CPU (broad compatibility), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
112	pop-112-amd-znver2-none-laptop	150	Laptop on AMD Ryzen 3000/4000 (Zen 2), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
113	pop-113-intel-meteorlake-none-laptop	150	Laptop on Intel Core Ultra 1 (Meteor Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
114	pop-114-amd-znver4-amd-handheld	144	Handheld on AMD Ryzen 7000/8000 (Zen 4), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
115	pop-115-amd-znver4-xe-desktop	144	Desktop on AMD Ryzen 7000/8000 (Zen 4), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
116	pop-116-amd-znver4-nouveau-desktop	144	Desktop on AMD Ryzen 7000/8000 (Zen 4), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
117	pop-117-amd-znver3-none-desktop	144	Desktop on AMD Ryzen 5000 (Zen 3), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
118	pop-118-intel-skylake-none-desktop	144	Desktop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
119	pop-119-intel-ivybridge-intel-desktop	144	Desktop on Intel Core 3 gen (Ivy Bridge), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
120	pop-120-intel-sandybridge-intel-desktop	144	Desktop on Intel Core 2 gen (Sandy Bridge), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
121	pop-121-amd-bdver4-intel-desktop	144	Desktop on AMD Excavator/Bulldozer line (bdver4, A-series/FX), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
122	pop-122-generic-x86-64-v2-intel-desktop	144	Desktop on any x86-64-v2 CPU (broad compatibility), integrated Intel (i915) (all vendor EC/WMI and modem drivers included as modules).
123	pop-123-intel-alderlake-xe-laptop	140	Laptop on Intel Core 12 gen (Alder Lake), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
124	pop-124-intel-alderlake-nouveau-laptop	140	Laptop on Intel Core 12 gen (Alder Lake), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
125	pop-125-intel-ivybridge-nvidia-desktop	128	Desktop on Intel Core 3 gen (Ivy Bridge), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
126	pop-126-intel-ivybridge-amd-desktop	128	Desktop on Intel Core 3 gen (Ivy Bridge), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
127	pop-127-intel-sandybridge-nvidia-desktop	128	Desktop on Intel Core 2 gen (Sandy Bridge), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
128	pop-128-intel-sandybridge-amd-desktop	128	Desktop on Intel Core 2 gen (Sandy Bridge), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
129	pop-129-amd-bdver4-nvidia-desktop	128	Desktop on AMD Excavator/Bulldozer line (bdver4, A-series/FX), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
130	pop-130-amd-bdver4-amd-desktop	128	Desktop on AMD Excavator/Bulldozer line (bdver4, A-series/FX), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
131	pop-131-generic-x86-64-v2-nvidia-desktop	128	Desktop on any x86-64-v2 CPU (broad compatibility), discrete NVIDIA (proprietary driver) (all vendor EC/WMI and modem drivers included as modules).
132	pop-132-generic-x86-64-v2-amd-desktop	128	Desktop on any x86-64-v2 CPU (broad compatibility), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
133	pop-133-amd-znver3-xe-laptop	120	Laptop on AMD Ryzen 5000 (Zen 3), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
134	pop-134-amd-znver3-nouveau-laptop	120	Laptop on AMD Ryzen 5000 (Zen 3), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
135	pop-135-intel-skylake-xe-laptop	120	Laptop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
136	pop-136-intel-skylake-nouveau-laptop	120	Laptop on Intel Core 6-10 gen (Skylake/Kaby/Coffee/Comet Lake), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
137	pop-137-amd-znver2-none-desktop	120	Desktop on AMD Ryzen 3000/4000 (Zen 2), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
138	pop-138-intel-meteorlake-none-desktop	120	Desktop on Intel Core Ultra 1 (Meteor Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
139	pop-139-intel-icelake-none-laptop	120	Laptop on Intel Core 10 gen mobile (Ice Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
140	pop-140-amd-znver5-none-laptop	120	Laptop on AMD Ryzen 9000 (Zen 5), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
141	pop-141-intel-rocketlake-none-laptop	120	Laptop on Intel Core 11 gen desktop (Rocket Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
142	pop-142-intel-arrowlake-none-laptop	120	Laptop on Intel Core Ultra 2 (Arrow Lake), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
143	pop-143-generic-x86-64-v3-none-laptop	120	Laptop on any x86-64-v3 CPU (safe fallback), no separate GPU driver (all vendor EC/WMI and modem drivers included as modules).
144	pop-144-intel-alderlake-amd-handheld	112	Handheld on Intel Core 12 gen (Alder Lake), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
145	pop-145-intel-alderlake-xe-desktop	112	Desktop on Intel Core 12 gen (Alder Lake), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
146	pop-146-intel-alderlake-nouveau-desktop	112	Desktop on Intel Core 12 gen (Alder Lake), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
147	pop-147-intel-raptorlake-radeon-legacy-laptop	100	Laptop on Intel Core 12-14 gen (Raptor/Raptor Refresh Lake), older AMD/ATI cards pre-GCN (radeon) (all vendor EC/WMI and modem drivers included as modules).
148	pop-148-amd-znver2-xe-laptop	100	Laptop on AMD Ryzen 3000/4000 (Zen 2), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
149	pop-149-amd-znver2-nouveau-laptop	100	Laptop on AMD Ryzen 3000/4000 (Zen 2), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
150	pop-150-intel-meteorlake-xe-laptop	100	Laptop on Intel Core Ultra 1 (Meteor Lake), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
151	pop-151-intel-meteorlake-nouveau-laptop	100	Laptop on Intel Core Ultra 1 (Meteor Lake), discrete NVIDIA (open nouveau driver) (all vendor EC/WMI and modem drivers included as modules).
152	pop-152-amd-znver3-amd-handheld	96	Handheld on AMD Ryzen 5000 (Zen 3), AMD (iGPU/APU or discrete, amdgpu) (all vendor EC/WMI and modem drivers included as modules).
153	pop-153-amd-znver3-xe-desktop	96	Desktop on AMD Ryzen 5000 (Zen 3), Intel Arc/Battlemage+ (new Xe driver) (all vendor EC/WMI and modem drivers included as modules).
